id,question,difficulty
1,Compute: 3/10 + 2/5,0.92
2,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.8
3,"If you have 3 apples and share them equally among 4 people, how many apples does each person get?",0.45
4,Compute: 1/7 * 9/6,0.57
5,"If you have 7 apples and share them equally among 5 people, how many apples does each person get?",0.14
6,Solve for x: 8x + 9 = 32,0.55
7,Compute: 5/3 * 9/2,0.96
8,Compute: 3/7 * 10/9,0.77
9,"If you have 4 apples and share them equally among 3 people, how many apples does each person get?",0.41
10,What is the area of a square with side length 4 units?,0.12
11,Compute: 7/6 * 9/10,0.55
12,What is 23 / 19?,0.92
13,Solve for x: 5x + 9 = 29,0.59
14,Solve for x: 7x + 5 = 38,0.71
15,What is the area of a square with side length 7 units?,0.77
16,What is the area of a rectangle with sides 2 and 5 units?,0.97
17,Compute: 2/7 - 1/9,0.88
18,What is the area of a square with side length 4 units?,0.73
19,What is the area of a rectangle with sides 10 and 8 units?,0.94
20,What is the area of a square with side length 6 units?,0.75
21,Solve for x: 3x + 3 = 16,0.29
22,Solve for x: 6x + 3 = 27,0.41
23,Solve for x: 10x + 3 = 52,0.62
24,What is 49 + 10?,0.24
25,Compute: 8/9 + 3/3,0.18
26,Compute: 2/8 + 4/4,0.61
27,What is the area of a rectangle with sides 10 and 5 units?,0.53
28,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.13
29,Compute: 9/5 - 9/2,0.29
30,Compute: 7/2 - 9/2,0.88
31,"If you have 6 apples and share them equally among 5 people, how many apples does each person get?",0.62
32,Compute: 8/4 + 5/3,0.17
33,Solve for x: 2x + 3 = 9,0.91
34,What is 26 - 28?,0.38
35,What is 20 - 35?,0.82
36,"If you have 3 apples and share them equally among 5 people, how many apples does each person get?",0.63
37,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.31
38,Compute: 5/5 + 10/9,0.22
39,Compute: 5/5 * 7/7,0.57
40,Compute: 9/10 * 9/8,0.26
41,What is 47 - 19?,0.57
42,What is 46 / 11?,0.95
43,Solve for x: 2x + 2 = 16,0.58
44,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.85
45,"If you have 5 apples and share them equally among 1 people, how many apples does each person get?",0.84
46,Solve for x: 1x + 2 = 11,0.16
47,Compute: 6/10 - 10/6,0.89
48,What is 40 / 50?,0.42
49,What is 3 + 46?,0.45
50,Solve for x: 3x + 4 = 15,0.63
51,"If you have 10 apples and share them equally among 3 people, how many apples does each person get?",0.78
52,What is 49 - 4?,0.57
53,Compute: 8/5 - 5/10,0.33
54,What is the area of a rectangle with sides 4 and 3 units?,0.1
55,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.42
56,What is 24 * 12?,0.8
57,What is the area of a rectangle with sides 3 and 9 units?,0.84
58,What is the area of a square with side length 10 units?,0.83
59,What is the area of a rectangle with sides 2 and 2 units?,0.5
60,"If you have 10 apples and share them equally among 2 people, how many apples does each person get?",0.49
61,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.72
62,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.72
63,What is the area of a square with side length 7 units?,0.15
64,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.57
65,"If you have 10 apples and share them equally among 4 people, how many apples does each person get?",0.5
66,What is 14 / 31?,0.32
67,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.95
68,What is the area of a rectangle with sides 6 and 5 units?,0.37
69,What is the area of a triangle with base 7 units and height 5 units?,0.71
70,Compute: 6/7 + 3/8,0.86
71,Compute: 6/9 - 10/6,0.68
72,What is the area of a rectangle with sides 2 and 3 units?,0.62
73,What is 3 / 42?,0.13
74,Solve for x: 6x + 8 = 24,0.18
75,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.37
76,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.95
77,What is the area of a square with side length 8 units?,0.72
78,Solve for x: 6x + 5 = 27,0.48
79,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",1
80,What is the area of a triangle with base 8 units and height 3 units?,0.5
81,"If you have 4 apples and share them equally among 3 people, how many apples does each person get?",0.46
82,Compute: 10/2 - 1/8,0.85
83,What is 24 / 31?,0.37
84,What is the area of a triangle with base 7 units and height 3 units?,0.6
85,What is 9 + 36?,0.46
86,Solve for x: 5x + 7 = 15,0.84
87,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.25
88,What is 30 - 13?,0.86
89,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.83
90,What is 43 / 14?,0.85
91,What is 25 + 41?,0.54
92,Compute: 1/9 - 9/9,0.78
93,Solve for x: 5x + 4 = 26,0.79
94,Solve for x: 10x + 6 = 50,0.58
95,What is 39 + 23?,0.6
96,Compute: 3/8 - 6/9,0.67
97,Solve for x: 9x + 7 = 46,0.3
98,What is 22 / 34?,0.71
99,Compute: 8/8 * 9/6,0.26
100,Solve for x: 6x + 3 = 32,0.27
101,Solve for x: 7x + 1 = 34,0.87
102,Solve for x: 2x + 1 = 12,0.12
103,Compute: 7/9 - 6/4,0.18
104,"If you have 7 apples and share them equally among 4 people, how many apples does each person get?",0.75
105,Compute: 9/5 * 1/6,1
106,"If you have 5 apples and share them equally among 1 people, how many apples does each person get?",0.37
107,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.39
108,"If you have 9 apples and share them equally among 4 people, how many apples does each person get?",0.75
109,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.94
110,What is the area of a square with side length 2 units?,0.35
111,What is the area of a rectangle with sides 10 and 2 units?,0.93
112,What is the area of a triangle with base 3 units and height 8 units?,0.29
113,Solve for x: 2x + 7 = 11,0.45
114,"If you have 4 apples and share them equally among 4 people, how many apples does each person get?",0.19
115,What is the area of a square with side length 5 units?,0.26
116,Compute: 5/6 - 5/6,0.64
117,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.34
118,"If you have 7 apples and share them equally among 5 people, how many apples does each person get?",0.48
119,Solve for x: 10x + 9 = 46,0.82
120,Compute: 9/3 * 9/2,0.88
121,Solve for x: 1x + 10 = 11,0.96
122,"If you have 8 apples and share them equally among 3 people, how many apples does each person get?",0.3
123,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",0.17
124,What is 13 - 34?,0.83
125,"If you have 8 apples and share them equally among 4 people, how many apples does each person get?",0.9
126,Solve for x: 7x + 6 = 29,0.93
127,What is 37 + 22?,0.14
128,Solve for x: 6x + 6 = 34,0.44
129,Solve for x: 1x + 1 = 13,0.58
130,Compute: 3/3 + 4/10,0.59
131,Solve for x: 7x + 9 = 31,0.91
132,What is the area of a rectangle with sides 10 and 10 units?,0.42
133,"If you have 4 apples and share them equally among 2 people, how many apples does each person get?",0.63
134,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.86
135,"If you have 10 apples and share them equally among 3 people, how many apples does each person get?",0.45
136,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.54
137,Solve for x: 7x + 2 = 31,0.8
138,What is the area of a rectangle with sides 3 and 2 units?,0.36
139,What is the area of a triangle with base 4 units and height 2 units?,0.17
140,Solve for x: 3x + 6 = 18,0.91
141,What is 13 / 1?,0.77
142,Compute: 4/9 - 6/4,0.98
143,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.23
144,What is the area of a rectangle with sides 10 and 8 units?,0.62
145,Solve for x: 9x + 8 = 23,0.11
146,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.18
147,What is the area of a square with side length 10 units?,0.88
148,Compute: 4/9 + 10/6,0.86
149,Solve for x: 3x + 7 = 14,0.33
150,What is 36 - 5?,0.68
151,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.61
152,Solve for x: 2x + 4 = 7,0.38
